stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
216,216,Elmira at Paisley northbound,Elmira Road South,43.52205,-80.289686,0,,,,,0
217,217,Elmira at West End Community Centre northbound,Elmira Road South,43.523051,-80.292219,0,,,,,0
218,218,Willow at Flaherty eastbound,Willow Road,43.527366,-80.296851,,,,,,0
219,219,Imperial at Willow northbound,Imperial Road North,43.529034,-80.292485,,,,,,0
220,220,Imperial at Dunhill northbound,Imperial Road North,43.531564,-80.294132,,,,,,0
221,221,Imperial at Westwood northbound,Imperial Road North,43.53511,-80.294715,,,,,,0
223,223,Royal at ARC Industries northbound,Royal Road,43.540183,-80.294327,,,,,,0
224,224,Royal at Massey northbound,Royal Road,43.542772,-80.297936,,,,,,0
225,225,Massey at Imperial westbound,Massey Road,43.541183,-80.301386,,,,,,0
226,226,Imperial at Woodlawn northbound,Imperial Road North,43.543594,-80.305703,,,,,,0
227,227,Woodlawn at Royal eastbound,Woodlawn Road West,43.545949,-80.303478,,,,,,0
228,228,Woodlawn at Regal eastbound,Woodlawn Road West,43.548771,-80.299613,,,,,,0
229,229,Woodlawn at Silvercreek eastbound,Woodlawn Road West,43.551744,-80.295572,,,,,,0
230,230,Woodlawn at Dawson eastbound,Woodlawn Road West,43.556084,-80.289687,0,,,,,0
231,231,Woodlawn at Edinburgh eastbound,Woodlawn Road West,43.55861,-80.286192,,,,,,0
232,232,Woodlawn at Nicklin eastbound,Woodlawn Road West,43.56041,-80.283611,,,,,,0
233,233,Woodlawn at Woolwich eastbound,Woodlawn Road West,43.56462,-80.277784,,,,,,0
234,234,Woolwich at Marilyn southbound,Woolwich Street,43.562109,-80.273501,,,,,,0
235,235,Woolwich at Evergreen Seniors Centre southbound,Woolwich Street,43.560044,-80.270661,,,,,,0
236,236,Woolwich at Mac southbound,Woolwich Street,43.556831,-80.266224,,,,,,0
237,237,Woolwich at Tiffany southbound,Woolwich Street,43.552525,-80.260289,,,,,,0
238,238,Woolwich at London southbound,Woolwich Street,43.549805,-80.256592,,,,,,0
254,254,Woolwich at London northbound,Woolwich Street,43.550079,-80.256664,,,,,,0
255,255,Woolwich at Kerr northbound,Woolwich Street,43.551843,-80.259124,,,,,,0
256,256,Woolwich at Powell northbound,Woolwich Street,43.553098,-80.260831,,,,,,0
257,257,Woolwich at Earl northbound,Woolwich Street,43.555928,-80.264751,,,,,,0
258,258,Woolwich at Speedvale northbound,Woolwich Street,43.55807,-80.267637,,,,,,0
259,259,Woolwich at Evergreen Seniors Centre northbound,Woolwich Street,43.560148,-80.270523,,,,,,0
260,260,Woolwich at Marilyn northbound,Woolwich Street,43.561905,-80.272942,,,,,,0
262,262,Woodlawn at Nicklin westbound,Woodlawn Road West,43.561075,-80.283015,,,,,,0
263,263,Woodlawn at Edinburgh westbound,Woodlawn Road West,43.558503,-80.286608,,,,,,0
264,264,Woodlawn at Dawson westbound,Woodlawn Road West,43.556823,-80.288933,,,,,,0
265,265,Woodlawn at Arrow westbound,Woodlawn Road West,43.554467,-80.292162,,,,,,0
266,266,Woodlawn at Silvercreek westbound,Woodlawn Road West,43.551694,-80.295963,,,,,,0
267,267,Woodlawn at Regal westbound,Woodlawn Road West,43.548725,-80.300025,,,,,,0
268,268,Woodlawn at Royal westbound,Woodlawn Road West,43.546384,-80.303232,,,,,,0
269,269,Imperial at Woodlawn southbound,Imperial Road North,43.543553,-80.305874,,,,,,0
270,270,Massey at Imperial eastbound,Massey Road,43.541132,-80.301177,,,,,,0
271,271,Royal at Massey southbound,Royal Road,43.542697,-80.298096,,,,,,0
272,272,Royal at ARC Industries southbound,Royal Road,43.54011,-80.294494,,,,,,0
273,273,Imperial at Speedvale southbound,Imperial Road North,43.53663,-80.296316,,,,,,0
274,274,Imperial at Thornhill southbound,Imperial Road North,43.534179,-80.294708,,,,,,0
275,275,Imperial at Kipling southbound,Imperial Road North,43.530806,-80.294185,,,,,,0
276,276,Imperial at Willow southbound,Imperial Road North,43.528769,-80.292303,,,,,,0
277,277,Willow at Flaherty westbound,Willow Road,43.527616,-80.296497,0,,,,,0
